Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price,Mapped_location,Unnamed: 0,Property Name,price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
64 Camden High Street,Islington,3,3,119,9,1,1,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,Street,Wood,Renovated,1428000,Islington,3014,Cross Street,850000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
19 Park Lane,Islington,1,2,119,72,0,1,2,Detached House,Underfloor Heating,Low-level Balcony,Industrial,Park,Laminate Flooring,Renovated,1428000,Islington,1689,Enfield Road,699950,New development,942,2,2,2,Islington,London,N1 5EN
74 Baker Street,Shoreditch,4,1,243,77,0,1,2,Detached House,Electric Heating,High-level Balcony,Modern,Garden,Granite,New,2673000,Hackney,2057,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
158 Piccadilly Circus,Islington,2,1,129,50,1,1,3,Apartment,Central Heating,No Balcony,Classic,City,Laminate Flooring,New,1032000,Islington,2638,Southgate Road,1675000,House,1845,5,5,5,Islington,London,N1 3HX
74 Baker Street,Shoreditch,4,1,243,77,0,1,2,Detached House,Electric Heating,High-level Balcony,Modern,Garden,Granite,New,2673000,Hackney,395,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX
80 Piccadilly Circus,Islington,3,2,113,61,1,1,3,Detached House,Central Heating,No Balcony,Minimalist,Park,Marble,New,1356000,Islington,356,Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,3,Islington,London,N1 1HT
96 Baker Street,Greenwich,2,2,208,24,0,1,1,Apartment,Central Heating,No Balcony,Modern,Sea,Granite,Old,1386666,Greenwich,1752,Chandlers Avenue,399995,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
85 Oxford Street,Notting Hill,4,3,112,37,0,0,3,Apartment,Electric Heating,No Balcony,Minimalist,Garden,Laminate Flooring,Old,1194666,Kensington and Chelsea,1281,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
121 Camden High Street,Notting Hill,5,1,219,44,1,1,2,Apartment,Electric Heating,No Balcony,Minimalist,Garden,Laminate Flooring,Renovated,2336000,Kensington and Chelsea,232,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU
90 Piccadilly Circus,Marylebone,2,2,140,89,0,1,2,Detached House,Electric Heating,Low-level Balcony,Modern,City,Wood,Old,2100000,Westminster,2227,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
97 Oxford Street,Marylebone,1,1,242,70,1,1,1,Semi-Detached,Electric Heating,No Balcony,Classic,Sea,Granite,Old,2904000,Westminster,1710,Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW
78 Fleet Street,Marylebone,2,1,124,8,1,1,3,Apartment,Electric Heating,High-level Balcony,Classic,City,Wood,New,1240000,Westminster,2227,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
125 Oxford Street,Islington,3,1,64,43,0,0,1,Apartment,Underfloor Heating,High-level Balcony,Minimalist,City,Laminate Flooring,Old,512000,Islington,889,Liverpool Road,1895000,House,1868,3,3,3,Islington,London,N1 0RE
159 King's Road,Greenwich,2,1,198,65,1,0,2,Apartment,Electric Heating,Low-level Balcony,Industrial,Park,Marble,New,1320000,Greenwich,2076,47 Pilot Walk,720000,Flat / Apartment,987,2,2,2,Greenwich,London,SE10 0NW
115 Strand,Chelsea,4,1,188,13,1,1,2,Apartment,Gas Heating,No Balcony,Modern,Sea,Wood,Old,2506666,Kensington and Chelsea,1756,Old Church Street,500000,Flat / Apartment,373,1,1,1,Chelsea,London,SW3 5BZ
52 Park Lane,Marylebone,4,1,153,13,1,1,2,Semi-Detached,Gas Heating,No Balcony,Modern,Sea,Granite,Renovated,1836000,Westminster,2136,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
101 Bond Street,Camden,3,3,206,40,0,0,3,Detached House,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,2678000,Camden,2966,Plender Street,525000,Flat / Apartment,565,1,1,1,Camden,London,NW1 0LB
135 Piccadilly Circus,Shoreditch,3,2,225,2,1,1,3,Apartment,Underfloor Heating,High-level Balcony,Industrial,Sea,Granite,Renovated,1650000,Hackney,1846,Chilton Street,625000,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA
77 Park Lane,Islington,4,2,79,59,1,1,1,Semi-Detached,Underfloor Heating,High-level Balcony,Industrial,Garden,Wood,Renovated,758400,Islington,1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
167 Bond Street,Chelsea,4,3,105,44,1,0,2,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Street,Marble,Renovated,1680000,Kensington and Chelsea,2568,Markham Street,2950000,House,1415,3,3,3,Chelsea,London,SW3 3NP
58 King's Road,Islington,5,2,86,22,1,1,3,Semi-Detached,Electric Heating,No Balcony,Industrial,Street,Marble,Renovated,825600,Islington,3013,Southgate Road,1695000,House,2160,4,4,4,Islington,London,N1 3HX
52 Piccadilly Circus,Marylebone,3,2,109,44,1,1,1,Detached House,Underfloor Heating,No Balcony,Minimalist,Street,Laminate Flooring,Renovated,1635000,Westminster,3394,Upper Wimpole Street,14750000,House,9053,9,9,9,Marylebone,London,W1G 6LG
152 Baker Street,Westminster,3,3,182,56,1,1,1,Detached House,Gas Heating,High-level Balcony,Minimalist,Street,Wood,Renovated,3276000,Westminster,878,Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN
198 King's Road,Islington,5,2,126,95,1,0,2,Detached House,Electric Heating,No Balcony,Industrial,Street,Laminate Flooring,Old,1512000,Islington,1439,Wenlock Road,629000,Flat / Apartment,640,2,2,2,Islington,London,N1 7SL
130 Bond Street,Westminster,5,1,130,63,0,1,3,Semi-Detached,Central Heating,No Balcony,Classic,Sea,Laminate Flooring,Old,1872000,Westminster,3334,Buckingham Gate,1950000,Flat / Apartment,1244,2,2,2,Westminster,London,SW1E 6PB
76 Regent Street,Notting Hill,5,3,70,94,0,0,3,Detached House,Underfloor Heating,Low-level Balcony,Modern,Street,Marble,Old,1120000,Kensington and Chelsea,570,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
85 Strand,Camden,3,1,97,4,0,0,3,Detached House,Central Heating,No Balcony,Modern,Sea,Granite,Old,1261000,Camden,269,Murray Mews,1395000,House,1587,3,3,3,Camden,London,NW1 9RJ
52 Regent Street,Kensington,1,1,118,18,1,0,3,Apartment,Central Heating,High-level Balcony,Modern,City,Marble,Renovated,1494666,Kensington and Chelsea,3448,Pembroke Square,4950000,House,2881,4,4,4,Kensington,London,W8 6PD
142 Park Lane,Islington,4,3,105,81,0,0,1,Semi-Detached,Gas Heating,High-level Balcony,Minimalist,Garden,Granite,New,1008000,Islington,1830,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX
58 Fleet Street,Islington,1,3,159,41,0,1,2,Semi-Detached,Central Heating,No Balcony,Minimalist,City,Laminate Flooring,Renovated,1526400,Islington,2017,Noel Road,900000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
140 Park Lane,Westminster,4,1,115,9,1,1,2,Semi-Detached,Underfloor Heating,Low-level Balcony,Classic,Street,Marble,Renovated,1656000,Westminster,1854,Greencoat Place,730000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB
96 Fleet Street,Greenwich,3,2,82,49,1,1,1,Detached House,Electric Heating,Low-level Balcony,Modern,Garden,Granite,New,820000,Greenwich,1752,Chandlers Avenue,399995,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
84 Park Lane,Shoreditch,2,3,129,41,1,0,3,Detached House,Electric Heating,No Balcony,Classic,City,Marble,Old,1419000,Hackney,2473,City Road,1977000,New development,1075,2,2,2,Shoreditch,London,EC1V 1AA
39 Fleet Street,Islington,5,1,208,84,1,0,1,Apartment,Underfloor Heating,No Balcony,Modern,Garden,Granite,Old,1664000,Islington,3382,Mortimer Road,3500000,House,3174,4,4,4,Islington,London,N1 4LB
82 Oxford Street,Camden,1,3,173,19,0,1,1,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Sea,Laminate Flooring,New,1799199,Camden,398,St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN
115 Fleet Street,Islington,1,2,206,11,0,1,2,Apartment,Underfloor Heating,Low-level Balcony,Minimalist,Garden,Laminate Flooring,Renovated,1648000,Islington,2071,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
76 Bond Street,Westminster,2,3,129,62,1,1,2,Detached House,Gas Heating,No Balcony,Classic,Garden,Laminate Flooring,New,2322000,Westminster,230,Tufton Street,1650000,Flat / Apartment,1099,2,2,2,Westminster,London,SW1P 3AF
129 Strand,Marylebone,2,1,171,21,0,0,1,Detached House,Electric Heating,No Balcony,Industrial,Sea,Wood,Old,2565000,Westminster,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
122 Oxford Street,Marylebone,3,2,211,78,1,0,2,Detached House,Underfloor Heating,No Balcony,Classic,City,Marble,Old,3165000,Westminster,474,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR
41 King's Road,Marylebone,2,3,230,69,1,0,3,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Street,Granite,Old,2760000,Westminster,3203,Wyndham Street,3650000,House,2390,4,4,4,Marylebone,London,W1H 1DB
72 Camden High Street,Islington,5,1,121,77,0,1,1,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Old,1452000,Islington,1436,Noel Road,2650000,House,2311,2,2,2,Islington,London,N1 8HA
65 Strand,Islington,5,3,58,41,0,0,1,Semi-Detached,Electric Heating,No Balcony,Industrial,Garden,Laminate Flooring,New,556800,Islington,3382,Mortimer Road,3500000,House,3174,4,4,4,Islington,London,N1 4LB
76 Oxford Street,Marylebone,4,2,51,26,1,0,1,Semi-Detached,Gas Heating,High-level Balcony,Industrial,Street,Marble,Renovated,612000,Westminster,1650,Wigmore Place,1950000,Flat / Apartment,1765,2,2,2,Marylebone,London,W1U 2LR
178 Park Lane,Islington,5,2,243,43,1,0,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,Sea,Marble,Renovated,2916000,Islington,502,Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD
8 Strand,Chelsea,1,1,51,4,1,0,2,Semi-Detached,Underfloor Heating,No Balcony,Modern,Park,Laminate Flooring,Renovated,816000,Kensington and Chelsea,791,Radnor Walk,3550000,House,1986,5,5,5,Chelsea,London,SW3 4BP
187 Oxford Street,Kensington,5,3,158,41,1,1,1,Apartment,Gas Heating,High-level Balcony,Classic,Garden,Marble,New,2001333,Kensington and Chelsea,3349,Kensington Church Street,3950000,New development,1924,3,3,3,Kensington,London,W8 7LP
40 King's Road,Chelsea,1,3,104,21,1,0,2,Apartment,Gas Heating,No Balcony,Industrial,City,Wood,Old,1386666,Kensington and Chelsea,3471,Herbert Crescent,4950000,Flat / Apartment,1581,3,3,3,Chelsea,London,SW1X 0HB
74 King's Road,Marylebone,4,3,188,29,1,1,3,Semi-Detached,Electric Heating,No Balcony,Modern,City,Wood,Old,2256000,Westminster,3251,Harley Street,18500000,House,8603,6,6,6,Marylebone,London,W1G 6BF
104 Park Lane,Shoreditch,5,1,105,57,1,1,1,Semi-Detached,Underfloor Heating,High-level Balcony,Minimalist,Sea,Granite,Old,924000,Hackney,395,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX
75 King's Road,Notting Hill,5,3,92,19,1,1,3,Semi-Detached,Electric Heating,Low-level Balcony,Classic,Street,Wood,Old,1177599,Kensington and Chelsea,3428,Kensington Park Road,9000000,House,3932,4,4,4,Notting Hill,London,W11 3BU
55 Baker Street,Islington,1,1,243,94,1,0,2,Detached House,Central Heating,High-level Balcony,Industrial,City,Granite,New,2916000,Islington,1289,Canonbury Square,2500000,House,2537,6,6,6,Islington,London,N1 2AU
19 Fleet Street,Westminster,5,2,84,4,0,1,3,Semi-Detached,Underfloor Heating,Low-level Balcony,Industrial,Sea,Laminate Flooring,Renovated,1209600,Westminster,878,Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN
20 Regent Street,Islington,2,1,201,42,0,1,3,Semi-Detached,Central Heating,High-level Balcony,Minimalist,Garden,Granite,New,1929600,Islington,1243,College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT
189 Oxford Street,Chelsea,2,1,105,14,0,1,3,Semi-Detached,Central Heating,Low-level Balcony,Minimalist,City,Marble,Old,1680000,Kensington and Chelsea,791,Radnor Walk,3550000,House,1986,5,5,5,Chelsea,London,SW3 4BP
70 Strand,Notting Hill,4,2,242,11,0,0,3,Detached House,Underfloor Heating,High-level Balcony,Modern,City,Wood,New,3871999,Kensington and Chelsea,936,Stanley Crescent,3450000,Penthouse,1575,2,2,2,Notting Hill,London,W11 2NA
6 Bond Street,Islington,4,1,69,34,1,0,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Marble,Old,552000,Islington,1561,Lonsdale Square,550000,Flat / Apartment,399,1,1,1,Islington,London,N1 1EW
157 Baker Street,Islington,5,1,184,59,0,1,2,Semi-Detached,Gas Heating,High-level Balcony,Minimalist,Sea,Wood,Renovated,1766400,Islington,1244,Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL
150 King's Road,Notting Hill,3,1,186,67,1,1,2,Semi-Detached,Central Heating,Low-level Balcony,Modern,Street,Laminate Flooring,New,2380800,Kensington and Chelsea,1281,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
48 King's Road,Marylebone,3,3,232,83,1,1,1,Semi-Detached,Underfloor Heating,Low-level Balcony,Industrial,Sea,Laminate Flooring,New,2784000,Westminster,3394,Upper Wimpole Street,14750000,House,9053,9,9,9,Marylebone,London,W1G 6LG
55 Baker Street,Islington,1,1,243,94,1,0,2,Detached House,Central Heating,High-level Balcony,Industrial,City,Granite,New,2916000,Islington,1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
193 King's Road,Marylebone,4,1,204,52,0,0,1,Detached House,Electric Heating,No Balcony,Classic,Sea,Granite,New,3060000,Westminster,178,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW
139 Fleet Street,Islington,5,1,78,24,0,1,2,Detached House,Underfloor Heating,No Balcony,Modern,Park,Wood,New,936000,Islington,1689,Enfield Road,699950,New development,942,2,2,2,Islington,London,N1 5EN
2 Bond Street,Islington,1,3,200,41,0,0,1,Apartment,Gas Heating,No Balcony,Modern,City,Laminate Flooring,New,1600000,Islington,2017,Noel Road,900000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
118 Park Lane,Marylebone,2,1,231,29,0,0,1,Apartment,Electric Heating,No Balcony,Industrial,Park,Laminate Flooring,New,2310000,Westminster,707,Devonshire Street,875000,Flat / Apartment,570,2,2,2,Marylebone,London,W1G 6PY
173 Regent Street,Islington,5,3,230,87,0,1,1,Detached House,Electric Heating,Low-level Balcony,Minimalist,City,Granite,New,2760000,Islington,2044,Waterloo Terrace,1850000,House,1512,3,3,3,Islington,London,N1 1TQ
138 Park Lane,Islington,3,2,78,88,1,1,3,Apartment,Gas Heating,No Balcony,Classic,Sea,Wood,Old,624000,Islington,443,Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN
138 King's Road,Marylebone,4,1,123,92,0,0,2,Detached House,Electric Heating,No Balcony,Modern,Sea,Granite,New,1845000,Westminster,2250,Cato Street,2500000,House,1888,3,3,3,Marylebone,London,W1H 5JH
185 Park Lane,Marylebone,4,3,193,73,0,0,3,Detached House,Electric Heating,High-level Balcony,Minimalist,Garden,Wood,New,2895000,Westminster,742,Shillibeer Place,1750000,House,1224,3,3,3,Marylebone,London,W1H 4DR
165 Oxford Street,Notting Hill,4,3,207,35,0,1,2,Detached House,Gas Heating,Low-level Balcony,Industrial,City,Wood,New,3312000,Kensington and Chelsea,3219,Northumberland Place,3250000,House,1929,4,4,4,Notting Hill,London,W2 5BS
123 Baker Street,Marylebone,5,2,239,79,1,0,3,Apartment,Gas Heating,Low-level Balcony,Industrial,Park,Laminate Flooring,Old,2390000,Westminster,2227,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
82 Camden High Street,Chelsea,1,1,153,54,0,1,1,Detached House,Central Heating,High-level Balcony,Modern,Park,Granite,Old,3060000,Kensington and Chelsea,965,Drayton Gardens,4750000,House,3104,6,6,6,Chelsea,London,SW10 9RY
27 Piccadilly Circus,Notting Hill,1,2,197,78,0,1,1,Detached House,Underfloor Heating,High-level Balcony,Classic,Garden,Granite,New,3151999,Kensington and Chelsea,762,Arundel Gardens,1350000,Flat / Apartment,628,1,1,1,Notting Hill,London,W11 2LB
16 Fleet Street,Kensington,1,2,202,36,1,1,1,Apartment,Central Heating,High-level Balcony,Minimalist,Street,Marble,Renovated,2558666,Kensington and Chelsea,1501,Pembroke Walk,3300000,House,1889,4,4,4,Kensington,London,W8 6PQ
117 Piccadilly Circus,Marylebone,3,1,214,30,1,0,1,Apartment,Central Heating,High-level Balcony,Minimalist,Park,Wood,Old,2140000,Westminster,3253,Upper Wimpole Street,12750000,House,7526,6,6,6,Marylebone,London,W1G 6LG
143 Piccadilly Circus,Islington,2,2,96,8,1,1,3,Semi-Detached,Central Heating,No Balcony,Industrial,Garden,Granite,Old,921600,Islington,3153,Malvern Terrace,2000000,House,1450,4,4,4,Islington,London,N1 1HR
91 Piccadilly Circus,Shoreditch,3,1,210,50,0,1,2,Semi-Detached,Underfloor Heating,Low-level Balcony,Industrial,City,Granite,Renovated,1848000,Hackney,3283,Worship Street,1100000,Flat / Apartment,1024,2,2,2,Shoreditch,London,EC2A 2AH
146 Strand,Notting Hill,1,1,109,17,0,0,3,Semi-Detached,Electric Heating,High-level Balcony,Classic,Street,Laminate Flooring,New,1395199,Kensington and Chelsea,3430,Pembridge Villas,5950000,New development,2770,2,2,2,Notting Hill,London,W11 2SU
104 Baker Street,Islington,1,1,141,71,1,0,1,Detached House,Gas Heating,No Balcony,Industrial,Garden,Wood,Renovated,1692000,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
41 Baker Street,Islington,4,2,224,48,0,1,2,Semi-Detached,Central Heating,High-level Balcony,Minimalist,Garden,Wood,Renovated,2150400,Islington,1979,St Paul Street,1600000,House,1565,3,3,3,Islington,London,N1 7AH
178 Piccadilly Circus,Islington,4,3,218,48,1,0,2,Semi-Detached,Central Heating,Low-level Balcony,Industrial,Garden,Laminate Flooring,Renovated,2092800,Islington,2308,Thornhill Grove,2100000,House,1677,3,3,3,Islington,London,N1 1JG
127 Camden High Street,Marylebone,3,2,71,68,1,0,3,Apartment,Gas Heating,No Balcony,Minimalist,Park,Granite,Old,710000,Westminster,2622,Portland Place,1050000,Flat / Apartment,631,2,2,2,Marylebone,London,W1B 1NX
171 Park Lane,Marylebone,1,1,88,57,1,0,3,Detached House,Gas Heating,High-level Balcony,Classic,Garden,Granite,Renovated,1320000,Westminster,1147,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD
25 Regent Street,Marylebone,2,2,96,52,0,0,2,Apartment,Electric Heating,No Balcony,Modern,City,Marble,Old,960000,Westminster,2525,Portland Place,4900000,Penthouse,2122,2,2,2,Marylebone,London,W1B 1PW
117 King's Road,Marylebone,3,1,141,92,0,1,2,Apartment,Electric Heating,High-level Balcony,Classic,City,Granite,New,1410000,Westminster,2905,Balcombe Street,520000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
178 Park Lane,Marylebone,5,1,238,88,0,1,1,Apartment,Underfloor Heating,Low-level Balcony,Modern,City,Granite,New,2380000,Westminster,2805,Montagu Square,2595000,Flat / Apartment,1452,3,3,3,Marylebone,London,W1H 2LW
155 King's Road,Marylebone,4,3,68,79,0,1,1,Detached House,Central Heating,Low-level Balcony,Industrial,Sea,Laminate Flooring,New,1020000,Westminster,3394,Upper Wimpole Street,14750000,House,9053,9,9,9,Marylebone,London,W1G 6LG
192 Bond Street,Islington,1,1,211,51,1,1,3,Apartment,Gas Heating,No Balcony,Modern,Park,Laminate Flooring,Renovated,1688000,Islington,2638,Southgate Road,1675000,House,1845,5,5,5,Islington,London,N1 3HX
123 Park Lane,Marylebone,2,3,86,76,1,1,1,Apartment,Electric Heating,High-level Balcony,Modern,City,Wood,Old,860000,Westminster,2195,Weymouth Mews,1575000,Flat / Apartment,979,2,2,2,Marylebone,London,W1G 7EG
195 King's Road,Chelsea,2,1,192,73,1,0,3,Semi-Detached,Central Heating,No Balcony,Industrial,City,Marble,Renovated,3072000,Kensington and Chelsea,766,Sloane Court East,750000,Flat / Apartment,599,1,1,1,Chelsea,London,SW3 4TQ
22 King's Road,Islington,3,1,204,70,1,1,2,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Renovated,2448000,Islington,502,Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD
186 Baker Street,Islington,1,3,117,82,0,1,3,Semi-Detached,Gas Heating,Low-level Balcony,Classic,Street,Wood,Old,1123200,Islington,1243,College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT
11 Piccadilly Circus,Islington,2,2,143,41,1,0,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,City,Wood,New,1716000,Islington,1627,Lofting Road,570000,Flat / Apartment,642,2,2,2,Islington,London,N1 1ET
84 Camden High Street,Chelsea,1,3,82,62,1,0,2,Apartment,Gas Heating,High-level Balcony,Minimalist,City,Laminate Flooring,Renovated,1093333,Kensington and Chelsea,791,Radnor Walk,3550000,House,1986,5,5,5,Chelsea,London,SW3 4BP
28 Fleet Street,Islington,5,3,123,90,0,0,3,Detached House,Electric Heating,High-level Balcony,Modern,Park,Granite,Renovated,1476000,Islington,309,Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD
191 Strand,Marylebone,3,2,73,94,1,0,3,Semi-Detached,Underfloor Heating,No Balcony,Classic,Park,Wood,Old,876000,Westminster,2905,Balcombe Street,520000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
36 King's Road,Shoreditch,1,2,104,87,1,0,1,Apartment,Underfloor Heating,No Balcony,Minimalist,Park,Granite,Old,762666,Hackney,1960,Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY
173 Camden High Street,Notting Hill,3,2,152,85,0,1,1,Detached House,Gas Heating,High-level Balcony,Modern,Sea,Marble,New,2432000,Kensington and Chelsea,3430,Pembridge Villas,5950000,New development,2770,2,2,2,Notting Hill,London,W11 2SU
8 Oxford Street,Islington,2,2,101,80,1,1,3,Apartment,Central Heating,High-level Balcony,Classic,City,Wood,Old,808000,Islington,24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT
164 Strand,Soho,1,3,206,85,0,1,1,Detached House,Electric Heating,No Balcony,Classic,Park,Marble,Renovated,2884000,Westminster,2765,Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ
197 Baker Street,Soho,3,3,128,24,1,0,2,Apartment,Electric Heating,Low-level Balcony,Classic,Sea,Laminate Flooring,Old,1194666,Westminster,2765,Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ
193 King's Road,Marylebone,4,1,204,52,0,0,1,Detached House,Electric Heating,No Balcony,Classic,Sea,Granite,New,3060000,Westminster,707,Devonshire Street,875000,Flat / Apartment,570,2,2,2,Marylebone,London,W1G 6PY
42 Piccadilly Circus,Notting Hill,5,3,135,65,1,1,1,Detached House,Gas Heating,High-level Balcony,Minimalist,Park,Wood,Old,2160000,Kensington and Chelsea,3037,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
52 Piccadilly Circus,Greenwich,3,1,216,70,0,0,1,Apartment,Underfloor Heating,High-level Balcony,Classic,Garden,Laminate Flooring,Old,1440000,Greenwich,2688,Chandlers Avenue,395000,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
196 Strand,Westminster,1,2,136,37,0,1,2,Semi-Detached,Electric Heating,No Balcony,Modern,City,Wood,Old,1958400,Westminster,3334,Buckingham Gate,1950000,Flat / Apartment,1244,2,2,2,Westminster,London,SW1E 6PB
87 Park Lane,Islington,5,3,158,62,1,1,3,Apartment,Electric Heating,No Balcony,Minimalist,Sea,Wood,New,1264000,Islington,1083,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET
34 Strand,Marylebone,4,1,127,97,0,0,3,Apartment,Electric Heating,No Balcony,Industrial,City,Marble,New,1270000,Westminster,2753,Bickenhall Street,2900000,Penthouse,1455,2,2,2,Marylebone,London,W1U 6BN
