Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price (£),Mapped_location,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,3219,Northumberland Place,3250000,House,1929,4,4,4,Notting Hill,London,W2 5BS
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,3262,Arundel Gardens,9500000,House,4683,6,6,6,Notting Hill,London,W11 2LB
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,3428,Kensington Park Road,9000000,House,3932,4,4,4,Notting Hill,London,W11 3BU
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,3430,Pembridge Villas,5950000,New development,2770,2,2,2,Notting Hill,London,W11 2SU
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,79,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,230,Tufton Street,1650000,Flat / Apartment,1099,2,2,2,Westminster,London,SW1P 3AF
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,878,Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,1456,Horseferry Road,1995000,House,2188,4,4,4,Westminster,London,SW1P 2EE
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,1854,Greencoat Place,730000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,1882,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,3310,Vincent Square,1425000,Flat / Apartment,1218,2,2,2,Westminster,London,SW1P 2PQ
198 Oxford Street,Westminster,2,1,123,34,Yes,No,1,Apartment,Central Heating,High-level Balcony,Industrial,City,Laminate Flooring,Old,1476000,Westminster,3334,Buckingham Gate,1950000,Flat / Apartment,1244,2,2,2,Westminster,London,SW1E 6PB
18 Regent Street,Soho,5,3,168,38,No,Yes,3,Semi-Detached,Central Heating,No Balcony,Industrial,Street,Wood,Renovated,1881600,Westminster,2765,Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,151,Barnsbury Park,5500000,House,3674,4,4,4,Islington,London,N1 1HQ
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,260,Rydon Street,1395000,House,1510,3,3,3,Islington,London,N1 7AL
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,309,Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,355,Thornhill Crescent,2850000,House,2857,5,5,5,Islington,London,N1 1BJ
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,356,Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,3,Islington,London,N1 1HT
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,443,Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,461,Gibson Square,2375000,House,2153,3,3,3,Islington,London,N1 0RD
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,502,Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,589,Offord Road,925000,Flat / Apartment,931,2,2,2,Islington,London,N1 1EA
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,714,Cloudesley Place,1435000,House,1341,3,3,3,Islington,London,N1 0JA
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,744,Alwyne Road,3500000,House,2216,4,4,4,Islington,London,N1 2HW
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,746,Canonbury Park North,1850000,Flat / Apartment,1623,4,4,4,Islington,London,N1 2JU
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,889,Liverpool Road,1895000,House,1868,3,3,3,Islington,London,N1 0RE
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,985,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,986,Lawford Road,1375000,House,1340,3,3,3,Islington,London,N1 5BJ
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1083,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1106,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1202,Cloudesley Street,625000,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1223,Canonbury Lane,2275000,House,1969,4,4,4,Islington,London,N1 2AP
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1224,Lofting Road,599950,Flat / Apartment,657,2,2,2,Islington,London,N1 1ET
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1243,College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1244,Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1289,Canonbury Square,2500000,House,2537,6,6,6,Islington,London,N1 2AU
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1431,Remington Street,1050000,House,1206,2,2,2,Islington,London,N1 8DH
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1436,Noel Road,2650000,House,2311,2,2,2,Islington,London,N1 8HA
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1439,Wenlock Road,629000,Flat / Apartment,640,2,2,2,Islington,London,N1 7SL
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1480,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1561,Lonsdale Square,550000,Flat / Apartment,399,1,1,1,Islington,London,N1 1EW
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1627,Lofting Road,570000,Flat / Apartment,642,2,2,2,Islington,London,N1 1ET
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1689,Enfield Road,699950,New development,942,2,2,2,Islington,London,N1 5EN
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1727,Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1797,Goswell Road,750000,Flat / Apartment,789,2,2,2,Islington,London,EC1V 7AH
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1808,Islington Place,3350000,House,3564,4,4,4,Islington,London,N1 0ET
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1830,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,1979,St Paul Street,1600000,House,1565,3,3,3,Islington,London,N1 7AH
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2017,Noel Road,900000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2019,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2044,Waterloo Terrace,1850000,House,1512,3,3,3,Islington,London,N1 1TQ
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2071,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2130,Islington Green,675000,Flat / Apartment,628,2,2,2,Islington,London,N1 2XA
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2308,Thornhill Grove,2100000,House,1677,3,3,3,Islington,London,N1 1JG
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2558,Pied Bull Yard,1250000,House,1013,3,3,3,Islington,London,N1 0EU
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,2638,Southgate Road,1675000,House,1845,5,5,5,Islington,London,N1 3HX
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,3013,Southgate Road,1695000,House,2160,4,4,4,Islington,London,N1 3HX
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,3014,Cross Street,850000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,3056,Packington Street,1000000,Flat / Apartment,923,2,2,2,Islington,London,N1 8RA
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,3153,Malvern Terrace,2000000,House,1450,4,4,4,Islington,London,N1 1HR
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,3277,Duncan Terrace,4250000,House,2940,4,4,4,Islington,London,N1 8AG
39 Piccadilly Circus,Islington,5,1,237,53,Yes,Yes,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Granite,Renovated,1896000,Islington,3382,Mortimer Road,3500000,House,3174,4,4,4,Islington,London,N1 4LB
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,21,Devonshire Close,5500000,House,3016,4,4,4,Marylebone,London,W1G 7BA
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,178,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,474,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,707,Devonshire Street,875000,Flat / Apartment,570,2,2,2,Marylebone,London,W1G 6PY
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,708,Luxborough Street,750000,Flat / Apartment,633,2,2,2,Marylebone,London,W1U 5BS
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,741,Bryanston Square,2200000,Flat / Apartment,1163,3,3,3,Marylebone,London,W1H 2DH
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,742,Shillibeer Place,1750000,House,1224,3,3,3,Marylebone,London,W1H 4DR
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,938,Wimpole Mews,2500000,House,1266,3,3,3,Marylebone,London,W1G 8PE
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1147,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1285,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1286,Harley Place,1350000,Mews,993,2,2,2,Marylebone,London,W1G 8QE
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1308,Devonshire Place Mews,3250000,House,1738,3,3,3,Marylebone,London,W1G 6DD
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1543,Bryanston Square,1995000,Flat / Apartment,1156,3,3,3,Marylebone,London,W1H 2DX
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1650,Wigmore Place,1950000,Flat / Apartment,1765,2,2,2,Marylebone,London,W1U 2LR
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1653,Gloucester Place,1050000,Flat / Apartment,848,3,3,3,Marylebone,London,W1U 6AW
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,1710,Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2136,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2195,Weymouth Mews,1575000,Flat / Apartment,979,2,2,2,Marylebone,London,W1G 7EG
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2227,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2231,Wesley Street,5250000,House,3092,5,5,5,Marylebone,London,W1G 8PT
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2250,Cato Street,2500000,House,1888,3,3,3,Marylebone,London,W1H 5JH
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2383,Hallam Street,1095000,Flat / Apartment,663,2,2,2,Marylebone,London,W1W 6JN
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2384,Wimpole Street,2575000,Flat / Apartment,1374,3,3,3,Marylebone,London,W1G 8AE
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2525,Portland Place,4900000,Penthouse,2122,2,2,2,Marylebone,London,W1B 1PW
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2622,Portland Place,1050000,Flat / Apartment,631,2,2,2,Marylebone,London,W1B 1NX
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2753,Bickenhall Street,2900000,Penthouse,1455,2,2,2,Marylebone,London,W1U 6BN
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2754,Upper Wimpole Street,11950000,House,7226,5,5,5,Marylebone,London,W1G 6LU
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2785,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2805,Montagu Square,2595000,Flat / Apartment,1452,3,3,3,Marylebone,London,W1H 2LW
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2864,Nottingham Place,3500000,Flat / Apartment,1956,3,3,3,Marylebone,London,W1U 5NH
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,2905,Balcombe Street,520000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,3116,Wheatley Street,2200000,Flat / Apartment,1119,2,2,2,Marylebone,London,W1G 8PS
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,3203,Wyndham Street,3650000,House,2390,4,4,4,Marylebone,London,W1H 1DB
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,3251,Harley Street,18500000,House,8603,6,6,6,Marylebone,London,W1G 6BF
116 Fleet Street,Marylebone,4,1,127,23,No,Yes,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Wood,Old,1524000,Westminster,3253,Upper Wimpole Street,12750000,House,7526,6,6,6,Marylebone,London,W1G 6LG
